"";"CTL.1";"CTL.2";"CTL.3";"CTL.4";"PD1.1";"PD1.2";"PD1.3";"PD1.4";"CMP.1";"CMP.3";"CMP.4"
"TC0300000621.mm.2";2,17813862535426;1,88581409106522;1,89117774541662;2,75361046865546;1,98293567445412;2,53558351544842;2,50408832443891;2,13635603533678;2,44689674451917;2,06917321714471;1,89200978692862
"TC1000000907.mm.2";6,96469674279393;6,8973437395052;6,98671486620645;6,71029193857854;6,75161770252942;6,68694524050204;5,70582010777531;6,54046179257211;6,09413985348141;6,39779875926782;6,70418079020173
"TC0500002886.mm.2";3,86389420510468;3,74213207238842;3,75617001483642;3,75028931439543;3,38102596899351;3,51220822683881;4,22800646353616;3,03087525960148;3,36346235836027;3,79851952072107;3,41245788367735
"TC1000000549.mm.2";4,82359852010278;4,65204684619371;4,34491061475132;4,19488192446444;4,48097837158864;4,6542442180874;4,37352967245519;3,8856305582089;4,6389715609026;3,93764265343782;4,45707251635692
"TC1700000277.mm.2";4,84569401116611;4,37257105670099;5,04317701633195;3,81360197985913;4,63440092391677;5,06608979562024;4,88731969636021;4,75892461909213;4,77071608153125;5,05165986621356;4,53246251536627
"TC0700002363.mm.2";2,73023568309647;2,78378337681005;2,2354322598833;2,76499817140243;2,17545575789116;2,82472701707205;2,16543835746633;2,39193838120089;3,12151718826807;2,156175489836;2,36651629104587
"TC0700000157.mm.2";2,83640470177428;2,62024254760603;2,91480548423348;2,44382410531319;3,23166372891239;2,57741621791977;2,60526682155433;2,91010877226445;1,93845123185949;2,65807929126373;2,39087853213986
"TC0900000341.mm.2";1,30248512216247;1,16036274686265;1,61504536774807;1,3038880070024;1,25104150153785;1,19136771370224;1,88611105500776;1,68772166996654;1,4187740308026;1,84529318713197;1,40629735765284
"TC0900002022.mm.2";2,0539847306983;1,6000483216718;2,10463836972721;2,44696494086868;2,40854527934348;1,82196511108469;2,65593149433469;2,252010127935;1,82889728267334;2,28462603077912;2,90419474816449
"TC0900002023.mm.2";2,07099054583937;2,50519452059692;2,66774978532586;2,30320766666636;2,4896657569596;2,05769445532757;2,6923550387494;2,84906240374668;2,37772517705665;3,29568476158972;2,28115194078008
"TC0400001610.mm.2";3,65075501302481;4,4814476484512;4,1412155709715;3,91937945409157;3,97269875761456;3,79577901735748;3,03698619108679;3,82751028067725;4,48251142857016;3,33401980169859;3,71774925825139
"TC1300002253.mm.2";6,58926863278048;6,73617159599037;6,03716230706227;6,37453595378429;6,04989619246493;6,66844051892299;5,16376513446251;6,07634585094041;4,791140516796;6,81504320034362;5,98595874346698
"TC0700000311.mm.2";2,46743881983292;2,70224824933647;2,26757161468826;2,5680705130636;3,57171887929392;2,62579913242952;3,05461415631021;2,27429204523129;3,21020270844761;2,68933968089999;2,93077380136223
"TC1000002424.mm.2";4,89239914812853;4,80968483814553;5,51958969577744;5,43972460256376;5,18470580162562;4,77633612837079;5,69114494958835;4,58281722272952;5,1069781679684;4,78967713807998;4,70927314668479
"TC0900003273.mm.2";7,82937023893369;7,99493541675496;8,12618688535903;7,65436076700071;8,26890432223307;8,24962982053395;7,48565598766545;8,23020436176726;7,88853426326901;7,54594658720593;7,84878360597061
"TC1000000765.mm.2";5,18801619674646;4,44251886629807;4,75703225258319;5,01127836931191;4,67445257182405;4,47065646969033;5,32997259382614;4,81529690999927;5,35014205193255;4,64789578776156;4,56601506643371
"TC0900002287.mm.2";5,3150894386906;4,6034226103265;5,02266413428821;5,0812147643409;5,31783429163926;5,52421134357782;4,95562727922818;5,24934411013516;4,97446848728787;4,32071144436676;4,85914724710717
"TC0500001980.mm.2";2,31030628452393;2,54563798729376;2,92540133392779;2,71306341178642;2,26803056540855;2,33159720688926;2,2851016663095;2,89459065983845;2,0705831141444;2,21693247068589;1,90670196702025
"TC0700003088.mm.2";3,33141912879869;3,29144681343933;3,42079612104753;3,2573233060593;3,66143127439235;3,05678762104712;2,99554772893972;3,4456905047947;3,95966238024577;2,92018191266497;3,04395435534563
"TC0X00001285.mm.2";5,21572342798356;4,70227355803842;5,04457298029664;4,78771622433469;4,23585063122009;4,6556130316438;4,41176806574618;4,22756002656627;4,89696735905133;4,63616430429435;5,48236702178871
